,Автор,Название картины,Ссылка на картину,Описание,Год,Размер,Материал,Техника,Жанр,Стиль,Галерея
214,Васнецов Виктор,Богатыри,https://opisanie-kartin.ru/vasnetsov-viktor/bogatyri/,"  Этой работой известного русского художника Виктора Васнецова заслуженно гордится вся страна, ведь на ней художник смог передать и величие и сам дух русского народа. Конечно, эту мысль пытались ухватить и другие художники, но Васнецову удалось вникнуть в самую суть и передать ее зрителям посредством красок. На картине изображены три знаменитых героя русских сказаний и былин — Добрыня Никитич, Илья Муромец и Алеша Попович. Они символизируют собой все лучшее, чем может гордиться русский народ — отвагу, силу духа, любовь к родине. Добрыня Никитич в былинах показан человеком не только мудрым, но и мужественным. Всегда помогали ему его волшебные доспехи и меч-кладенец, который и сейчас он готов достать из ножен. Так он и изображен на картине, а его белый конь является словно отражением своего хозяина. Илья Муромец — это реально живший человек, о необычайной силе которого было сложено много легенд. Его образ на картине показан не только очень сильным, но и душевным, открытым и искренним. На лице у третьего персонажа картины Васнецова «Богатыри» играет полуулыбка. Это показывает зрителям, что Алеша Попович не только сильный и храбрый воин, но и простой веселый человек. Виктор Васнецов создавал эту работу почти 30 лет, досконально изучая реальную и выдуманную жизнь и подвиги этих легендарных персонажей в русской истории. ", 1881., 295 x 446 см., холст., масло., мифологическая живопись.," романтизм, символизм."," Государственная Третьяковская галерея, Москва, Россия."
215,Васнецов Виктор,Три царевны подземного царства,https://opisanie-kartin.ru/vasnetsov-viktor/tri-carevny-podzemnogo-carstva/,"  В конце семидесятых годов 19 столетия художнику был дан заказ на три картины для здания управления Донецкой железной дороги. Васнецова всё сильнее тянет к русскому фольклору. Красочнее становятся изображаемые им образы, сказочные сюжеты, и вот, наконец, художник дает жизнь трём прекрасным царевнам: Золотой, Медный и Царевне Каменного угля. Сказочный сюжет художник сумел адаптировать к тематике железных дорог. По сути, девушки на картине олицетворяют собой главные богатства края — золото медь и уголь. Однако, эта картина не удовлетворила членов правления железной дороги, им не понравились статные девушки в роскошных одеждах и стоящая чуть в стороне их скромная подруга. Эту версию картину купил брат Саввы Ивановича — Александр Иванович Мамонтов. В 1884 году Васнецов создает второй вариант картины. Он меняет цветовую гамму на более светлую, яркую, и позволяет младший царевне опустить руки вдоль тела. Теперь она не кажется маленькой и неуверенной в себе рядом с подругами. Эту картину выкупил меценат и коллекционер Терещенко. Сейчас она находится в Киевском музее русского искусства. ", 1879.," 152,7 x 165,2 см.", холст., масло., мифологическая живопись., романтизм.," Государственная Третьяковская галерея, Москва, Россия."
216,Васнецов Виктор,Аленушка,https://opisanie-kartin.ru/vasnetsov-viktor/alyonushka/,"  Свою известность замечательный русский художник Виктор Васнецов получил за серию картин-иллюстраций к русским народным сказкам. Одна из таких картин — «Аленушка», являющаяся иллюстрацией к сказке «Сестрица Аленушка и братец ее Иванушка», написана в 1881 году. На этом полотне художнику удалось мастерски передать образ девушки из сказки. Уставшая, обессиленная тщетными поисками своего брата, Аленушка в печальной позе сидит у лесного пруда на большом валуне. Темный лес вокруг героини и хмурое, затянутое облаками небо, усиливает настроение грусти и печали. Дремучий лес со всех сторон окружил девушку, грустно роняющую горькие слезы в воду тихого пруда. Волосы Аленушки растрепались от долгих поисков брата; босая, в стареньком сарафане, сидит она и думает о судьбе братца Иванушки. Над головой Аленушки художник изобразил несколько ласточек, являющихся символом надежды, показал, что грустная история, случившаяся с братом и сестрой, обязательно закончится хорошо. Лесной пейзаж, изображенный на картине, не отвлекает зрителя от центральной фигуры Аленушки, наоборот, каждая деталь подчеркивает сущность и глубину произведения. Картина наполнена атмосферой легкой грусти и полной тишины. Очень живописно Васнецов изобразил недвижимую гладь пруда, камыши, осинки над водой. Темно-зеленые краски окружающего пейзажа контрастируют с румянцем и цветами на сарафане девушки. Картина оставляет впечатление сказки, тайны и ощущение того, что эта сказка закончится хорошо. ", 1881., 121 x 173 см., холст., масло., литературная живопись., романтизм.," Государственная Третьяковская галерея, Москва, Россия."
217,Васнецов Виктор,Иван-царевич на сером волке,https://opisanie-kartin.ru/vasnetsov-viktor/ivan-tsarevich-na-serom-volke/,"  Картина Виктора Васнецова «Иван-царевич на Сером волке» является, пожалуй, одним из самых фольклорных произведений русского изобразительного искусства. В основе сюжета картины лежит известная русская народная сказка — «Иван-царевич и Серый волк». Иван-царевич с украденной им Еленой Прекрасной бегут от погони на Сером волке — верном друге Ивана. Внимательно посматривает царевич вокруг, крепко прижимает к груди свою любимую. Елена, покоренная и безразличная к происходящему, доверчиво прильнула к своему спасителю. Она старается не смотреть вокруг, напугана погоней, дремучим лесом, да и волком. Особое внимание зрителя привлекает Серый волк с его человеческим взглядом. Это необычный персонаж: Серый волк — это оборотень, волколак, как его раньше называли. Но и в русской народной сказке, и на картине его образ является положительным, полным храбрости и верности. Серый волк легко уносит от погони своих седоков. Бежит он едва касаясь земли, словно паря над мрачным болотом посреди дремучего леса. На картине в этом лесу яркими пятнами выделяются болотные лилии и цветки яблони. Яблоня посреди дремучего леса, на болоте? Этим художник отсылает нас к сюжету народной сказки — ведь с яблони с золотыми яблоками и начались приключения. Сказочной является и одежда героев полотна. Иван-царевич, одетый в кафтан, расшитый золотом, и Елена в шелковом голубом платье стилистически дополняют друг друга. А Серый волк совсем не серый, цвет его шерсти вторит цвету одежды царевича. Вся картина создает настроение сказки, чуда, загадки. ", 1889., 249 x 187 см., холст., масло., мифологическая живопись., романтизм.," Государственная Третьяковская галерея, Москва, Россия."
218,Васнецов Виктор,Поединок Пересвета с Челубеем,https://opisanie-kartin.ru/vasnetsov-viktor/poedinok-peresveta-s-chelubeem/,  , 1914., 60 х 100 см., бумага.," акварель, гуашь, карандаш.", батализм., романтизм.," Самарский областной художественный музей, Самара, Россия."
219,Васнецов Виктор,С квартиры на квартиру,https://opisanie-kartin.ru/vasnetsov-viktor/s-kvartiry-na-kvartiru/,"  Несомненно, художнику удалось воплотить то, что он задумывал в картине «С квартиры на квартиру». При первом же взгляде на полотно чувствуешь безысходность и горечь людей, которые вынуждены менять свое местожительства. Всё действие на картине происходит в осеннем, промозглом Санкт-Петербурге на берегу Невы, которая уже покрыта льдом (эти выводы можно сделать, увидев на заднем плане очертания Петропавловской крепости). Главные герои полотна — пожилой человек и его жена. Судя по их одежде, явно не богатые люди, но и нельзя сказать, что они совсем бедные. Можно предположить, что мужчина работает каким-то мелким чиновником или уже вышел на пенсию, и жалование его очень маленькое. В руках у немолодой супружеской пары скромные и немногочисленные вещи. Взгляд у мужчины полон сожаления, он смотрит на свою жену с чувством вины, за то, что не смог обеспечить семью. А по выражению лица женщины видно, что она гневается не только на мужа, но и на всю жизнь и свою судьбу. Она понимает, что у них сейчас нет выбора, и смена квартиры – это вынужденная жизненная ситуация, как скорее всего и её замужество – это выбор некогда сделанный её родителями. Женщина решительно идет и не смотрит даже на свою собаку. По упитанному телосложению питомца видно, что он изнежен и избалован, ему ни в чем не отказывали. Удручающее состояние художник подчеркивает общим пейзажем: тяжелым серым небом, желто-грязным снегом, низко летающими чайками над Невскими проталинами. И венец этой картины – разбитая, старая лодка на берегу, как разбитая жизнь этих людей. ", 1876.," 53,5 x 67,2 см.", холст., масло., жанровая живопись., реализм.," Государственная Третьяковская галерея, Москва, Россия."
220,Васнецов Виктор,Ковер-самолет,https://opisanie-kartin.ru/vasnetsov-viktor/kover-samolet/,"  История создания картины «Ковер-самолет» весьма интересна и курьезна. Известный и влиятельный меценат Савва Мамонтов обратился с просьбой к начинающему, но уже заявившему о себе как о художнике Виктору Васнецову, нарисовать картины на тему полёта и волшебного перемещения. Так появился ряд полотен под названием «Ковер-самолет». Савва Иванович планировал разместить эти произведения искусства в кабинете председателя Донецкой каменноугольной железной дороги. Но у председателя было свое мнение по поводу картин: он счел, что полотна со сказочными сюжетами не вписываются в рабочую атмосферу кабинетов. Вот так и вышло, что картины пополнили личную коллекцию Саввы Ивановича Мамонтова. На полотне мы видим гордого Ивана-Царевича, который победоносно возвращается с очередного задания самодура-царя. Ему велено раздобыть Жар-птицу, что герой с честью и сделал. Как и подобает русским героям, Иван-Царевич одет в национальный праздничный костюм. Он гордо и уверенно стоит на ковре-самолете, держа золотую клетку с Жар-птицей в левой руке. Ощущение полета художник показывает зрителю развевающимся ковром, который подобен огромным крыльям волшебной птицы. Как в противовес Виктор Васнецов добавляет в нижней левый угол картины живых птиц. Глядя на картину, мы ощущаем полет конечно же ещё благодаря пейзажу, который мы видим в перспективе под ковром. Всё окутано туманом и вечерней дымкой: извилистая река, деревья и опушки. В речной глади отражаются последние лучи заката, а на небе, между птицами и ковром, через облака скромно выглядывает месяц. Васнецову несомненно удалось передать давнюю, сказочную мечту человечества о полете. Несмотря на то, что это полотно молодого тогда ещё художника, в ней уже видна кисть мастера и профессионала.  ", 1880., 165 х 297 см., холст., масло., мифологическая живопись., романтизм.," Нижегородский художественный музей, Нижний Новгород, Россия."
221,Васнецов Виктор,Спящая царевна,https://opisanie-kartin.ru/vasnetsov-viktor/spyasshaya-carevna/,"  Виктор Михайлович Васнецов известен прежде всего своим умением отражать в живописи народный дух русского фольклора. Картина «Сказка о спящей царевне» уносит зрителя в волшебный мир сказки. Для её написания автор использовал насыщенные и яркие краски преимущественно тёплых тонов, поэтому, смотря на картину, сразу ощущается необычность, сказочность происходящего. Центральное место в композиции занимает фигура самой Спящей Царевны. Её веки прикрыты, руки раскинуты, тело немного повернуто к зрителю. По преданию, она уколола пальчик веретеном, после чего сбылось давнее проклятие – заснула не только красавица, но и все царство. Вокруг Царевны спят её служанки, спят даже птицы, звери, деревья и цветы. Картина статична настолько, что создаётся впечатление, что даже легкий ветерок никогда не потревожит их крепкий сон. Каждая деталь картины прорисована с высокой чёткостью. Лица у всех настолько разные, на каждом из них отмечается характер человека и последние его мысли. Задний план составляет внутреннее помещение терема, соседние здания с одной стороны, и дремучий лес с другой, к деталям которых можно присматриваться бесконечно. Так, можно заметить в росписи окружающих предметов множество символов солнца. Лейтмотивом данного творения служит идея времени. Языческие мотивы мелькают на картине. Тело Спящей Царевны расположено перед двумя колоннами, украшенными двумя головами девушек, что обозначает живую и мертвую воду. Пока красота будет жить, над человечеством не будет властно ни время, ни смерть. Сама сказка о Спящей Царевне выражает представление древних о цикличности природы, о постоянной смене сна и пробуждения. Связь героини с природой подчеркивается цветочными мотивами её платья и украшениями её ложа монументальными изображениями животных. Автор удивительно точно передал спокойной сон в ожидании новой жизни.  ", 1900 — 1926., 214 x 452 см., холст., масло., литературная живопись., модерн.," Дом-музей В.М. Васнецова, Москва, Россия."
222,Васнецов Виктор,Царевна-лягушка,https://opisanie-kartin.ru/vasnetsov-viktor/carevna-lyagushka-2/,"  Известный русский художник Виктор Васнецов написал знаменитое полотно «Царевна-лягушка» в 1918 году. Главным элементом этой картины является фигура молодой девушки; ее руки раскинуты в стороны, голова запрокинута, художник изобразил её в танце. На девушке надето удивительной красоты расшитое платье изумрудного цвета, под ним виднеется ослепительно белая сорочка, в руке у неё лёгкий платок. Изображена она спиной к зрителю, поэтому мы видим только её густые длинные волосы. Музыканты, играющие танцевальную мелодию, улыбаются и смотрят на неё с восхищением, видимо девушка отличается неземной красотой. Если вспомнить известную сказку, то становится понятно, что в следующее мгновенье Василиса Премудрая покажет всем своё удивительное волшебство: после взмаха одной рукой появится озеро, после взмаха другой — по нему поплывут прекрасные лебеди. Красиво изобразил Васнецов царские палаты, в которых танцует Царевна-лягушка: резные ножки столов, роспись пола затейливым орнаментом, столы покрыты белыми скатертями и разнообразными угощениями. На заднем плане художник показал озеро с белыми лебедями, за ним — деревенские избы, березки, поле. Небольшой, но красиво поданный кусочек пейзажа добавляют картине дополнительного реализма. На этом полотне Васнецов попытался передать душу и красоту русского творчества, вдохновения, самобытность русского народа. ", 1918., нет данных., холст., масло., мифологическая живопись., романтизм.," Дом-музей В.М. Васнецова, Москва, Россия."
223,Васнецов Виктор,"Гамаюн, птица вещая",https://opisanie-kartin.ru/vasnetsov-viktor/gamayun-ptica-vesshaya/,"  Виктор Васнецов на протяжении всей своей жизни интересовался и изучал мифологию и фольклор Древней Руси. Все его произведения пропитаны духом старины. При одном взгляде на любую из его картин с мифологическим или сказочным сюжетом даже не возникает сомнения, что именно так и выглядели герои древности. Тоже самое можно сказать и о картине «Гамаюн, птица вещая», написанной в 1897 году. Гамаюн в славянской мифологии – это птица с женским лицом и грудью, вестница бурь, ураганов. Она обладала прекрасным голосом и могла предсказать будущее только особым людям, которые её слышат и понимают даже среди звуков природы: в ливне дождя, в шуме травы, в порыве ветра. Люди считали, что Гамаюн — это посланница бога, связывающая два мира, предсказывающая события. На полотне изображена птица с тревожным лицом женщины, она сидит на изящном дереве и взирает куда-то вдаль. Сильно контрастируют черные крылья на ярком, сияющем фоне – сильные, пластичные, готовые к полету. Вот-вот взмахнет крылом и взлетит. Очень завораживает в этой картине противоречивое настроение: одновременно спокойные, но и в то же время буйные краски, умиротворенная природа и диссонирующая Гамаюн. Некоторые искусствоведы считаю, что крылья — это символ возрождения. В дальнейшем творчество Васнецова способствует развитию таких стилей как символизм и модернизм. В том числе и благодаря Виктору Васнецову было возрождено и передано последующим поколениям уникальное творчество и мифология славянских народов. ", 1897., 200 х 150 см., холст., масло., мифологическая живопись.," романтизм, символизм."," Дагестанский музей изобразительных искусств им. П.С. Гамзатовой, Махачкала, Россия."
224,Васнецов Виктор,Крещение Руси,https://opisanie-kartin.ru/vasnetsov-viktor/kresshenie-rusi/,"  Виктор Михайлович Васнецов, помимо написания картин историко-былинной тематики, известен также работой над произведениями религиозного характера. Одним из таких творений стала фреска Владимирского собора, расположенного в Киеве. Перед началом работы над данной фреской автор апробировал сюжет на картине, созданной в 1890 году. Работа над хорами во Владимирском соборе проходила в 1895—96 гг. Помимо Васнецова, в работе над фреской были задействованы Котарбинский В. А и Нестеров М. В. Основной идеей и картины, и фрески стало осмысление истории становления христианства на территории Древней Руси и включения посредством его принятия великой державы в общую мировую культуру. В данных творениях автор показал момент принятия православия жителями Киевской Руси в водах Днепра. В центре композиции расположена фигура Владимира Святославовича. В отличие от многих религиозных картин того времени, образ правителя Древней Руси наделен индивидуализированными чертами. Его лик выражает торжественность и серьезное понимание столь серьезного шага: руки подняты вверх, к небу, брови серьезно нахмурены, одеяние празднично расшито золотыми нитками. Князя окружают представители высшего духовенства, а также простые служители в белых одеждах. Позади него виднеется хор, воспевающий славу Божью, а также верная рать. На фоне белых ряс духовных лиц и золота Великого Князя резко выделяются фигуры представителей простого народа. Они стоят в очереди перед престарелым священником, который проводит обряд крещения. Задний план представлен светлым облаком, из которого льётся лучами божественный свет. Жители небес, написанные размытыми красками, сверху радуются происходящему. ", 1890., 214 х 178 см., холст., масло., историческая живопись, романтизм.," Государственная Третьяковская галерея, Москва, Россия."
225,Васнецов Виктор,Витязь на распутье,https://opisanie-kartin.ru/vasnetsov-viktor/vityaz-na-rasputye/,"  Когда мы смотрим на картину «Витязь на распутье», первый образ, который приходит нам на ум, это, конечно, Илья Муромец, герой былин и сказаний. Но в названии картины, как и в задумке художника, никакого имени не фигурирует. Перед написанием этого шедевра Виктор Васнецов нарисовал множество эскизов, набросок и этюдов. Были совершенно разные варианты этого полотна: в начале, на некоторых эскизах богатырь был изображен лицом к зрителю. В композиции присутствовала дорога. Но в конечном итоге художнику важнее было показать камень с надписью и поле, усеянное человеческими костями. При этом он вовсе убрал дорогу и из трех изречений оставил одно: «прямо пойдешь, живым не бывать». Скорее всего, этим изречением Васнецов хотел сделать акцент на обреченной и безысходной участи богатыря, в его лице показав всю бессмысленность военных действий. Также это изречение усиливается мрачным пейзажем: останки павших бойцов рядом с камнем, вечернее небо и небольшая стая ворон. От начала работы над картиной до её завершения заняло у Васнецова пятнадцать лет. Конечно же, он параллельно вел работу и над другими полотнами. Но интересен тот факт, над которым спорят многие искусствоведы: в руках витязя пехотное копье, а не конное. Эта деталь удивляет всех тем, что на всех эскизах и этюдах у богатыря ни разу не встречается именно пехотного копья, оно присутствует только на окончательном варианте. Что хотел сказать знаменитый русский живописец этим разительным отличием, можно только догадываться. Вообще этот шедевр сильно отличается от других полотен, он выделяется своим пессимистическим настроением, которое совершенно нетипично для работ художника. ", 1878., 79 x 147 см., холст., масло., мифологическая живопись.," романтизм, символизм."," Государственный Русский музей, Санкт-Петербург, Россия."
226,Васнецов Виктор,Кащей Бессмертный,https://opisanie-kartin.ru/vasnetsov-viktor/kashhej-bessmertnyj/,"  Над знаменитым полотном «Кащей Бессмертный» «сказочник» в живописи, Виктор Васнецов, работал с 1917 года, а закончил его художник в 1926 году. Эта картина стала хронологически последним его творением. Каждый из нас знает сказки про Кощея Бессмертного, который олицетворяет ненависть и зло в русском фольклоре. Васнецов часто черпал вдохновение в русских сказках, перенося образы сказочных героев на свои полотна. Каждый персонаж всегда приобретал свой характер, душу, с полотна на нас, на зрителей, смотрит как будто бы реально живущий человек, а не герой мифа или сказки. На полотне доминируют три цвета: золотой, красный и темно-коричневый. Основной смысловой акцент делается на богато обставленные палаты с роскошным убранством. Жадный и неистовый взгляд Кощея дает нам понять, что перед нашим взором скупой и скаредный старик, который чахнет над своим богатством. Это мы можем понять по трем большим, многопудовым сундукам и горе золота в левом углу комнаты. В центре картины, вокруг этого богатства, Кощей, изображенный художником в виде костлявого, но грозного старца, и юная дева — можно предположить, что Васнецов изобразил Василису Прекрасную. Видно, что в костлявом и безобразном теле не осталось ничего душевного и теплого. Только жадность и желание всем и всея владеть. Корона на голове и меч в руке говорят нам о его всемогуществе, но они не в силах подчинить и, уж тем более, расположить к себе юную девушку. Его взгляд застыл на окровавленном мече, и её глазах виден нескрываемый ужас и страх перед Кощеем. Многие отмечали, что за время написания холста, а он писался ни много ни мало 9 лет, впитал в себя все происходящие события в то время в России. Также к событиям привязывают символизм в картине. Есть ли какие-либо черты символизма у Васнецова в этой работе трудно сказать, но одно очевидно, что его произведение точно передало его переживания и чувства автора в период создания этого шедевра. ", 1926., нет данных., холст., масло., мифологическая живопись., романтизм., нет данных.
227,Васнецов Виктор,Снегурочка,https://opisanie-kartin.ru/vasnetsov-viktor/snegurochka/,"  Всё творчество Виктора Михайловича Васнецова проникнуто духом русского фольклора. Живописец своими произведениями желал отразить всю ту духовную силу и красоту, которыми обладает русский народ. Васнецов ещё в начале 80-х годах 19 века занялся оформлением пьесы «Снегурочка», поставленной по мотивам одноименного творения А. Н. Островского Абрамцевским кружком. В 1885 г. живописец принял участие в оформлении постановки оперы Н. А. Римского-Корсакова «Снегурочка». Всё это вдохновило Виктора Михайловича на воплощение образа ледяной красавицы в своём изобразительном творчестве. Картина была закончена в 1899 г. На первом плане видна сама героиня. Прообразом для неё стала Сашенька, дочь Мамонтова. По преданию Снегурочка, родившаяся в дремучем лесу, – ребёнок Мороза и Весны. Она одета в длинное пальто белого цвета, украшенное узорами, бледные варежки и шапку. Фигура размещена не по центру картины, а несколько сбоку. Руки разведены, голова повернута немного вправо, туловище расположено по диагонали, сзади видны следы на снегу – всё это создаёт впечатление, что персонаж только что вышёл навстречу зрителю, и растерянно озирается по сторонам. Как отмечал Н. А. Ярославцев, в её образе тесно сплетается небесное и земное. Как все иные персонажи Васнецова, Снегурочка отражает идеал красоты, «чистой заснеженной России», и природа полностью повторяет настроение героини. Неизвестный лес, раскиданные ёлочки, мрачное, но лунное небо и искрящийся под луной ярким блеском снег. Интересно, что фигура Снегурочки как будто освещается не сверху, а снизу, от снега. Всё окружающее создает общее впечатление волшебства и загадочности. Для написания картины использовалась холодная гамма цветов – белые, серые и голубые оттенки, что очень тонко подчёркивает таинственность происходящего.  ", 1899., нет данных., холст., масло., мифологическая живопись., романтизм.," Государственная Третьяковская галерея, Москва, Россия."
228,Веласкес Диего,Сдача Бреды,https://opisanie-kartin.ru/velaskes-diego/sdacha-bredy/,  , 1635., 307 x 367 см., холст., масло., батальная живопись., барокко.," Прадо, Мадрид, Испания."
229,Веласкес Диего,Портрет инфанты Маргариты,https://opisanie-kartin.ru/velaskes-diego/portret-infanty-margarity/,  , 1660., 107 x 121 см., холст., масло., портрет., барокко., нет данных.
230,Веласкес Диего,Менины,https://opisanie-kartin.ru/velaskes-diego/meniny/,  , 1656., 318 x 276 см., холст., масло., жанровая живопись., барокко.," Прадо, Мадрид, Испания."
231,Веласкес Диего,Завтрак,https://opisanie-kartin.ru/velaskes-diego/zavtrak/, века. , 1618., 109 x 102 см., холст., масло., жанровая живопись., барокко.," Эрмитаж, Санкт-Петербург, Россия."
232,Веласкес Диего,Портрет инфанты Марии Маргариты,https://opisanie-kartin.ru/velaskes-diego/portret-infanty-marii-margarity/,", ставшей впоследствии императрицей Священной Римской империи. На картине изображена маленькая девочка в официальном наряде, имеющая холодный надменный взгляд, какой положено было иметь представителям династии. Осанка тоже выдаёт в девочке принадлежность к королевской семье. Но, несмотря на чопорность и статичность фигуры маленькой наследницы престола, художник передал мельчайшие черты лица: мягкость линий, золото волос, нежная припухлость губ придают её портрету особую теплоту и нежность, контрастирующую со строгим внешним видом. Картину Диего Веласкеса «Портрет инфанты Марии Маргариты» можно увидеть в Лувре — известнейшем музее Европы и всего мира. ", 1654., 70 x 59 см., холст., масло., портрет., барокко.," Лувр, Париж, Франция."
233,Венецианов Алексей,На пашне. Весна,https://opisanie-kartin.ru/venecianov-aleksey/na-pashne-vesna/,"  Название этой картины Алексея Венецианова менялось со временем. Сперва холст назывался «Женщина, боронящая поле», затем «Крестьянка в поле, ведущая лошадей» и, наконец, «Деревенская женщина с лошадьми». Нынешнее название за картиной закрепилось после создания нескольких последующих полотен из серии «Времена года», в которую была включена и картина «На пашне. Весна». Современники корили художника многократно за чрезмерную простоту и жизненность натуры, а потомки — за качество противоположное: за идеализацию. Черты украшательства видели в том, что женщина на пашне показана в нарядном сарафане. В картине Алексея Венецианова пейзаж играет важнейшую роль в создании возвышенно-аллегорического образа весны. Лирический русский пейзаж создает особое настроение. Лазурное небо, мягкая зелень, приглушенный колорит земли, легкая золотистая дымка на пашне образуют природную гармонию. Краски легки и прозрачны. Настоящая весна! Крестьянка в национальной праздничной одежде боронит землю. Венецианов создает некий поэтизированный образ, подчеркивая сходство своей героини с античной богиней. Масштабное несоответствие женской фигуры и лошадей, которых она с легкостью ведёт по пашне, усиливает впечатление. Этот полуфантастический образ органично вписывается в реалистический пейзаж. Линия горизонта и мысленные траектории движения боронящих землю селянок создают определённое замкнутое пространство. Тем самым художник на картине «На пашне. Весна» показывает извечный круговорот жизни, где неизбежна смена времен года, но вечна природа. ", 1820.," 51,2 х 65,5 см.", холст., масло., жанровая живопись., реализм.," Государственная Третьяковская галерея, Москва, Россия."
